# Information
Run datetime, 2017-09-28 20:22:55
Data file, synthetic_data/global_restructuring_1000x20.csv
Algorithm type, DynamicGL
Penalty function, n/a
Data dimension, 20
Blocks, 50
Observations in a block, 20
Rho, 21
Beta, 0
Lambda, 10.0
Processes used, 25
Total edges, 1350
Total edgeless, 8150

# Results
Algorithm run time, 0.357 seconds
Iterations to complete, n/a

Correct positive edges, 562
All positives, 1233
F1 Score, 0.435
Temporal deviations ratio (max/mean), 1.436
Temporal deviations ,2.015,1.649,1.536,1.523,1.828,1.794,1.631,1.929,1.755,1.568,1.510,1.649,1.800,1.703,1.470,1.855,1.783,1.517,1.778,1.490,1.685,1.876,1.865,1.685,2.371,1.789,1.281,1.393,1.510,1.386,1.456,1.600,1.407,1.530,1.703,1.476,1.400,1.400,1.703,1.543,1.510,1.939,1.667,1.703,1.536,1.761,1.661,1.637,1.661
Normalized Temporal deviations ,0.850,0.696,0.648,0.643,0.771,0.757,0.688,0.814,0.740,0.662,0.637,0.696,0.759,0.718,0.620,0.782,0.752,0.640,0.750,0.629,0.711,0.791,0.787,0.711,1.000,0.755,0.540,0.588,0.637,0.584,0.614,0.675,0.594,0.645,0.718,0.623,0.591,0.591,0.718,0.651,0.637,0.818,0.703,0.718,0.648,0.743,0.701,0.691,0.701
