# Information
Run datetime, 2017-09-28 20:08:51
Data file, synthetic_data/perturbed_node_1000x20.csv
Algorithm type, ParallelTVGL
Penalty function, group_lasso
Data dimension, 20
Blocks, 50
Observations in a block, 20
Rho, 6.7
Beta, 50
Lambda, 2.0
Processes used, 25
Total edges, 1425
Total edgeless, 8075

# Results
Algorithm run time, 18.6 seconds
Iterations to complete, 1989

Correct positive edges, 1377
All positives, 1418
F1 Score, 0.969
Temporal deviations ratio (max/mean), 15.263
Temporal deviations ,0.000,0.000,0.000,1.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.414,3.464,0.000,0.000,0.000,2.000,0.000,1.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.414,0.000,0.000,0.000,0.000,0.000,0.000
Normalized Temporal deviations ,0.000,0.000,0.000,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.408,1.000,0.000,0.000,0.000,0.577,0.000,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.408,0.000,0.000,0.000,0.000,0.000,0.000
