# Information
Run datetime, 2017-09-26 17:23:20
Data file, omxh_data/STD_OMXH25-2017-01-01-2017-09-04.csv
Algorithm type, ParallelTVGL
Penalty function, group_lasso
Data dimension, 25
Blocks, 5
Observations in a block, 34
Rho, 11.3666666667
Beta, 10
Lambda, 8.0
Processes used, 3

# Results
Algorithm run time, 0.788 seconds
Iterations to complete, 235

Temporal deviations ratio (max/mean), 1.880
Temporal deviations ,0.959,0.424,0.283,0.374

#Networks:

Block 0,2017-01-02 - 2017-02-17
Dev to next,0.959
,Amer Sport A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
Amer Sport A,1.0,0.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,0.1,0.1
Cargotec,0.1,1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.1,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
Elisa,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,-0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.1,0.0
Fortum,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Huhtamaki,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
Kesko B,0.0,-0.0,-0.0,0.0,0.0,1.0,-0.0,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1
Kone,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,-0.0
Konecranes,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
Metso,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.0,1.0,0.0,0.1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Metsa Board B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
