#Date,Amer Sports A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2014-08-01,-0.746,-2.746,-2.053,-1.719,-1.756,-0.702,-0.953,-0.37,2.042,-1.128,0.072,-1.433,0.039,-2.083,-0.144,-0.905,-1.477,-1.156,-1.409,-1.157,-1.859,-1.473,3.246,-1.458,-2.608
2014-08-04,-1.366,0.866,0.286,1.06,-0.153,0.53,-0.449,-0.742,3.168,-0.848,2.172,0.086,0.269,-0.203,-0.361,-0.831,-2.021,0.326,0.752,-0.45,0.307,2.159,0.37,-0.188,0
2014-08-05,-0.762,-0.485,0.76,-0.367,0.767,-0.844,1.257,-0.457,0.743,2.006,-0.85,1.966,-0.845,-0.102,1.013,-4.69,-0.732,-0.217,-2.539,0.723,0.255,-7.073,-0.614,0.027,-1.473
2014-08-06,-0.768,-0.9,-1.98,-0.789,-0.761,-1.808,0.223,-0.042,-1.989,-1.678,0,-2.431,-1.549,-1.474,-3.01,-1.933,-2.882,-0.869,-2.299,-1.795,-2.444,-2.975,-1.422,-0.512,-1.698
2014-08-07,1.055,-0.984,-0.529,-0.743,-0.972,-0.253,-0.191,0,-0.917,-2.001,1.43,0.172,-1.455,-0.206,1.404,-1.254,-0.414,0.877,-1.569,-0.731,-0.261,-0.721,-0.125,-1.706,-4.354
2014-08-08,-3.34,-2.332,-1.596,-1.069,-1.188,-1.231,-1.05,-0.793,-0.529,-1.771,0.916,-2.058,-6.464,-0.362,-2.878,0.454,-4.782,-1.793,-1.833,-2.026,-1.622,-1.362,-2.699,-1.929,-1.012
2014-08-11,2.808,4.462,1.671,1.513,2.823,1.026,1.897,1.052,1.162,2.995,1.676,1.751,1.621,2.386,2.476,2.258,2.911,0.415,2.435,2.256,1.809,1.842,2.323,1.18,3.577
2014-08-12,0.14,-0.187,0.048,-0.16,-0.203,0.073,0.852,-0.375,-0.23,-1.751,-0.412,-0.43,-1.637,-0.557,1.757,-0.353,-1.556,1.983,-0.158,-0.276,1.881,-0.814,3.909,-0.611,-2.326
2014-08-13,0,0.413,0.145,1.386,-0.357,-0.217,0.469,-0.711,-0.099,-1.752,0.69,0.346,-1.067,0.458,0.324,0.532,-1.293,-2.755,0.476,1.014,-1.641,0.547,-0.364,3.465,-1.299
2014-08-14,0.14,0.935,-0.241,0.526,-0.46,-0.799,-1.401,-0.084,1.779,-0.307,0.137,0.689,1.941,-0.761,1.183,-2.293,1.092,0.5,-0.869,0.274,0.469,-0.816,2.314,0.675,0
2014-08-15,0.279,0.481,-0.048,-0.314,-0.154,0.476,-0.6,-0.084,-0.291,1.819,-0.41,-0.855,-0.381,0.358,-0.709,-2.888,-0.216,0.829,0,0.182,0.467,0.366,-2.321,-1.368,0.731
2014-08-18,0.836,1.622,-0.048,0.262,0.72,1.276,1.144,0.253,1.59,0.575,-0.412,1.208,3.101,0.56,0.857,6.506,0.072,0.356,1.833,0.727,4.649,1.093,0.914,0.626,2.975
2014-08-19,0.829,0.907,0.339,0.419,1.328,0.684,1.288,1.262,1.597,0.873,0.897,1.449,3.585,0.506,0.849,2.094,0.721,0.656,1.565,0.541,1.185,2.072,1.993,1.73,2.607
2014-08-20,1.233,0.108,-0.241,1.876,0.101,-0.608,0.062,0.623,-1.038,0,-0.478,4.034,0.716,-0.252,0.351,0.855,-1.503,0.054,-0.385,-0.179,0.732,-0.53,0.414,-1.01,-3.503
2014-08-21,0.338,-0.144,0.145,0,2.316,1.043,0.589,-0.083,1.017,0.866,0.343,1.373,0.079,1.313,1.923,4.831,0.291,0.922,1.547,0.27,0.581,0.532,1.769,-0.161,3.701
2014-08-22,0,-0.575,0.483,-1.074,-0.492,0.178,-1.479,0.041,-1.478,-0.858,0.753,-0.876,-0.592,0.299,0.309,-2.587,-0.725,0.081,-1.142,0.179,0.048,-1.5,-2.202,1.102,0.275
2014-08-25,1.686,0.217,0.192,0.569,1.088,0.888,-0.344,0.743,1.181,-0.299,-0.068,0.804,0.992,0.199,0.65,2.573,1.168,0.698,0.539,1.252,-0.289,1.254,-1.422,0.585,-0.684
2014-08-26,2.321,1.516,0.096,-0.103,1.125,1.232,-0.879,0.246,-2.556,2.036,1.903,0.159,1.612,0.298,1.053,0.162,0.144,0.24,1.533,-1.148,2.461,0.265,0.06,1.533,-0.551
2014-08-27,0.778,0.107,1.054,-0.103,-0.387,0.209,0.063,0.491,0.842,0.587,0.4,-0.955,-0.039,-0.198,1.042,2.1,-0.216,-0.053,2.038,-0.268,0.801,1.5,-0.12,0.703,0.762
2014-08-28,-0.965,-2.202,-0.853,-2.061,-0.583,-2.221,0.57,-1.872,-3.565,-1.692,-1.395,-0.884,-4.683,-2.478,-0.965,-5.142,0.217,-1.384,-2.145,-0.896,-2.056,-1.217,-3.127,-1.163,-4.47
2014-08-29,-1.299,0.182,-0.909,0.473,-0.342,-1.136,1.322,0.166,-0.633,0.267,0.404,3.731,-1.543,0.762,0.302,-1.918,-1.081,1.026,0.151,0.542,-1.24,0.616,0.124,0.078,0.648
2014-09-01,0.724,-0.507,-0.145,0.942,-0.735,-0.539,-0.248,-0.207,1.24,-3.433,-0.134,-1.407,-0.66,-0.908,0.235,1.701,0.073,0.134,-0.679,0.18,-0.29,-0.437,-0.868,0.209,-1.788
2014-09-02,0.653,-0.401,-0.435,0,0,0,1.027,-0.083,2.119,-0.889,0.134,1.427,0.83,-0.458,-1.404,0.836,-0.873,0.24,1.064,-0.628,-0.727,0.791,-0.313,2.869,-0.51
2014-09-03,0.584,1.536,-0.534,0.311,1.531,0.253,1.017,0.997,-0.162,2.103,2.282,1.016,7.452,0.256,-0.169,0.249,3.598,0.639,1.429,-0.271,1.22,0.174,4.015,-0.938,1.757
2014-09-04,0.903,0.829,2.001,0.517,0.146,1.116,2.074,-0.411,0.747,-0.303,1.444,0.619,-1.724,1.734,0.781,4.384,3.614,0.503,3.113,-0.181,-1.784,3.481,2.051,-0.512,3.237
