#Date,Amer Sports A,Cargotec,Elisa,Fortum,Huhtamaki,Kesko B,Kone,Konecranes,Metso,Metsa Board B,Neste,Nokia,Nokian Renkaat,Nordea,Orion B,Outokumpu,Outotec,Sampo A,Stora Enso R,Telia,Tieto,UPM-Kymmene,Valmet,Wartsila,YIT
2017-01-02,0.9656488837,0.5382305253,0.7037891796,1.5394976056,0.9346478608,0.4307163395,0.4181840111,1.1523146174,0.6569578471,0.679384119,1.2466368785,0.6325527865,2.1232402709,0.1246636879,0.9511377666,0.1550051145,1.6912047389,0.9135407814,0.3232021537,0.8258144825,1.4504521142,0.3957577392,1.5098157751,0.494697174,2.7373243629
2017-01-03,-0.9768620196,0.3053930554,-1.202443931,-0.5751679143,0.0184686945,0.0554060835,0.6925760436,1.6120531911,0.9880751556,-1.0085226388,-1.3831732986,-0.8831993547,-0.4511638227,1.1180156133,0.9227751286,-0.0771727591,1.4168127064,0.6107861109,0.0639808345,-0.1701758279,-0.6971932173,0.3086910366,-0.4148860299,0.1378556125,0.7090659494
2017-01-04,-0.0263838493,-1.6094148061,0.7519397045,-0.3568415615,-0.4241203772,0.1378556125,0.0916838763,-0.3746506598,-0.3324365009,-0.5369113329,-0.7427053573,0.1444515748,-0.3634375238,0.0613424496,0.1061949934,-0.7361093949,-1.1351651153,0.559997201,-0.5778062993,0.6134244958,-0.3271597311,-0.5593376048,-0.0461717362,-0.0916838763,-0.4953567703
2017-01-05,0.3654163125,-0.2493273757,0.7222578741,0.0897050876,-0.1299404577,0.7433649535,-0.1827081563,-0.4524830152,0.0956414536,0.3937789505,-3.6647166651,-0.0573848722,0.2922011308,-0.7321518176,0.4544618039,-0.7836003236,-1.4115359365,0.0751939705,0.2592213192,0.6754265416,0.1009182235,0.1972192734,-0.2790092061,-0.3370536746,-0.2493273757
2017-01-09,-0.2856051685,-0.4531426114,0,0.5375709291,-0.5758275106,-0.7347902025,-0.3509051954,-0.5501032575,-0.6675113868,-0.4887608079,-2.1535816976,0,0.6727881567,-1.7274825317,-0.5415285065,0.3964173354,-0.8390064071,0.1048758009,-1.1615489646,-0.8020690181,0.1259828803,-0.6464043074,-0.6061689372,-0.3542031766,-1.3356823699
2017-01-10,0.3654163125,0.267136474,-0.210411198,0.0441929475,-0.375310256,0.3027546705,0.0923434725,0.5355921404,0.4815052494,0,0.2005172545,-0.1154293406,-1.0078630425,-0.5065699062,-0.1061949934,1.3000641733,0.7836003236,-1.5263056809,0.3284789235,-0.3047334592,0.3027546705,-0.1418131899,0.5652739708,0.1081737821,0.8521983318
2017-01-11,-0.1813889638,0.3918001618,0.2532849531,-0.4887608079,-0.0375969852,-0.6846608888,0.6892780625,0.1141101481,-1.5770945908,-0.2460293945,-0.579785088,-0.7796427463,0.6213396506,0.2552637418,-0.1668778467,2.5117424516,1.0500772014,-0.8429639845,0.523059812,0.3739910636,-0.6774053303,0.1708354241,-0.6068285335,0.494697174,1.0936105527
2017-01-12,-0.8060265955,-0.7321518176,-0.1470899597,0.3133082102,-1.037544873,-0.6503618848,-0.3489264067,-0.568571952,-0.5632951822,-0.5441668914,0.6048497448,-1.6364582517,-1.1773792742,0.2546041456,-1.1872732177,-4.5413200575,-0.258561723,-0.605509341,-0.7136831231,-0.1352172276,-0.6846608888,0.1985384658,-0.3766294485,-0.2763708212,-1.1998055461
2017-01-13,0.5527416424,0.8977104718,0.420822396,0.5342729479,0.7473225309,0.5171234459,0.4874416155,0.477547672,0.4195032036,0.9973095028,0.019787887,1.4385793821,0.036937389,1.3937268383,0.9458609967,0.2796688024,-0.5191022346,0.579785088,1.9016159369,0.5078890987,0.8963912793,0.9907135405,0.4735900946,0.3238617499,0.5481244688
2017-01-16,-0.1569839032,-2.0975160178,0.062661642,-0.1767717902,-0.6635538094,0.1246636879,-0.04551214,-0.4742496908,0.2209647377,-0.8350488297,-0.8390064071,-0.7037891796,0.4056516827,-0.1860061374,-0.366735505,-0.0798111441,-0.3271597311,-0.5586780085,-0.7011507946,-0.5039315213,-0.2526253569,-0.0277030417,-1.1292287492,-0.4293971471,-0.5012931363
